PlotID,Date,CoverClass,Species,Percent,Height,DataEntry,DataEntryDate,CoverType,Notes
BTN4V-15,9/3/2024,V,ANDSEP,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,L,N/A,83,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,D,N/A,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,B,N/A,15,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,V,PENBAR,2,4,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-14,9/3/2024,V,QUGA,15,102,Jonathan Grabowski,9/16/2024,Aerial,QUGA not rooted in plot
BTN4V-14,9/3/2024,V,CARXXX,T,19,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-14,9/3/2024,V,PENBAR,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,V,CARXXX,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,D,N/A,5,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,L,N/A,94,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,R,N/A,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,V,CARXXX,7,26,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-1,9/3/2024,V,QUGA,15,95,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-1,9/3/2024,V,PENBAR,1,4,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-1,9/3/2024,V,ALLSER,T,11,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-1,9/3/2024,V,CARXXX,4,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,V,QUGA,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,V,PENBAR,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,V,ALLSER,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,R,N/A,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,G,N/A,9,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,D,N/A,3,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-1,9/3/2024,L,N/A,82,N/A,Jonathan Grabowski,9/16/2024,Basal,
