PlotID,Date,CoverClass,Species,Percent,Height,DataEntry,DataEntryDate,CoverType,Notes
BTN4V-15,9/3/2024,V,CARXXX,6,21,Jonathan Grabowski,9/16/2024,Aerial,Stakes in both west corners; located between trees 1082 and 1083
BTN4V-15,9/3/2024,V,BROCIL,8,58,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-15,9/3/2024,V,QUGA,4,10,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-15,9/3/2024,V,POAFEN,3,8,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-15,9/3/2024,V,ANDSEP,T,1,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-15,9/3/2024,V,CARXXX,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,V,BROCIL,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,V,QUGA,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,V,POAFEN,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,V,ANDSEP,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,L,N/A,83,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,D,N/A,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-15,9/3/2024,B,N/A,15,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,V,PENBAR,2,4,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-14,9/3/2024,V,QUGA,15,102,Jonathan Grabowski,9/16/2024,Aerial,QUGA not rooted in plot
BTN4V-14,9/3/2024,V,CARXXX,T,19,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-14,9/3/2024,V,PENBAR,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,V,CARXXX,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,D,N/A,5,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,L,N/A,94,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-14,9/3/2024,R,N/A,1,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-18,9/3/2024,V,BERREP,4,9,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-18,9/3/2024,V,CARXXX,1,7,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-18,9/3/2024,V,BERREP,T,N/A,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-18,9/3/2024,V,CARXXX,T,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-18,9/3/2024,L,N/A,100,N/A,Jonathan Grabowski,9/16/2024,Basal,
BTN4V-5,9/3/2024,V,BERREP,2,8,Jonathan Grabowski,9/16/2024,Aerial,
BTN4V-5,9/3/2024,V,HYMDIS,1,29,Jonathan Grabowski,9/16/2024,Aerial,
