Expr1000,CoverClass,Species,Percent,Height,Notes,CoverType,PlotID,LifeForm,Binomial,Date
8/26/2024,V,CARXXX,1,N/A,,Basal,SFF1V-209,Graminoid,Carex spp L.,8/26/2024
9/10/2024,V,CARXXX,4,19,,Aerial,SFF5V-251,Graminoid,Carex spp L.,9/10/2024
9/10/2024,V,CARXXX,1,N/A,,Basal,SFF5V-251,Graminoid,Carex spp L.,9/10/2024
9/12/2024,V,CARXXX,T,N/A,,Basal,SFF8V-265,Graminoid,Carex spp L.,9/12/2024
8/26/2024,V,CARXXX,1,N/A,,Basal,SFF1V-211,Graminoid,Carex spp L.,8/26/2024
8/26/2024,V,CARXXX,4,22,,Aerial,SFF1V-211,Graminoid,Carex spp L.,8/26/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-29,Graminoid,Carex spp L.,9/5/2024
8/26/2024,V,CARXXX,2,14,,Aerial,SFF1V-209,Graminoid,Carex spp L.,8/26/2024
8/22/2024,V,CARXXX,T,5,,Aerial,SFF4V-201,Graminoid,Carex spp L.,8/22/2024
9/10/2024,V,CARXXX,2,15,,Aerial,SFF5V-252,Graminoid,Carex spp L.,9/10/2024
9/10/2024,V,CARXXX,3,N/A,,Basal,SFF5V-254,Graminoid,Carex spp L.,9/10/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-229,Graminoid,Carex spp L.,9/4/2024
9/10/2024,V,CARXXX,6,30,,Aerial,SFF5V-254,Graminoid,Carex spp L.,9/10/2024
9/10/2024,V,CARXXX,3,N/A,,Basal,SFF5V-253,Graminoid,Carex spp L.,9/10/2024
9/10/2024,V,CARXXX,4,27,,Aerial,SFF5V-253,Graminoid,Carex spp L.,9/10/2024
8/28/2024,V,CARXXX,30,22,,Aerial,SFF10V-218,Graminoid,Carex spp L.,8/28/2024
9/12/2024,V,CARXXX,T,N/A,,Basal,SFF8V-269,Graminoid,Carex spp L.,9/12/2024
8/22/2024,V,CARXXX,T,10,,Aerial,SFF4V-206,Graminoid,Carex spp L.,8/22/2024
8/26/2024,V,CARXXX,2,18,,Aerial,SFF1V-208,Graminoid,Carex spp L.,8/26/2024
9/12/2024,V,CARXXX,1,N/A,,Basal,SFF8V-272,Graminoid,Carex spp L.,9/12/2024
9/5/2024,V,CARXXX,T,N/A,,Basal,SFS4V-30,Graminoid,Carex spp L.,9/5/2024
8/26/2024,V,CARXXX,8,25,,Aerial,SFF1V-207,Graminoid,Carex spp L.,8/26/2024
8/26/2024,V,CARXXX,2,N/A,,Basal,SFF1V-207,Graminoid,Carex spp L.,8/26/2024
9/5/2024,V,CARXXX,3,20,,Aerial,SFS4V-46,Graminoid,Carex spp L.,9/5/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-226,Graminoid,Carex spp L.,9/4/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-46,Graminoid,Carex spp L.,9/5/2024
9/12/2024,V,CARXXX,6,22,,Aerial,SFF8V-273,Graminoid,Carex spp L.,9/12/2024
9/5/2024,V,CARXXX,2,19,,Aerial,SFS4V-38,Graminoid,Carex spp L.,9/5/2024
8/26/2024,V,CARXXX,1,N/A,,Basal,SFF1V-208,Graminoid,Carex spp L.,8/26/2024
9/12/2024,V,CARXXX,5,N/A,,Basal,SFF8V-273,Graminoid,Carex spp L.,9/12/2024
9/12/2024,V,CARXXX,2,22,,Aerial,SFF8V-272,Graminoid,Carex spp L.,9/12/2024
9/4/2024,V,CARXXX,1,N/A,,Basal,SFF2V-247,Graminoid,Carex spp L.,9/4/2024
8/22/2024,V,CARXXX,1,N/A,,Basal,SFF4V-205,Graminoid,Carex spp L.,8/22/2024
9/4/2024,V,CARXXX,2,30,,Aerial,SFF2V-244,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,1,,,Basal,SFF2V-244,Graminoid,Carex spp L.,9/4/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-24,Graminoid,Carex spp L.,9/3/2024
8/29/2024,V,CARXXX,5,22,,Aerial,SFF9V-224,Graminoid,Carex spp L.,8/29/2024
9/5/2024,V,CARXXX,T,N/A,,Basal,SFS4V-27,Graminoid,Carex spp L.,9/5/2024
8/22/2024,V,CARXXX,3,18,,Aerial,SFF4V-205,Graminoid,Carex spp L.,8/22/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-22,Graminoid,Carex spp L.,9/3/2024
9/12/2024,V,CARXXX,T,14,,Aerial,SFF8V-265,Graminoid,Carex spp L.,9/12/2024
9/4/2024,V,CARXXX,2,20,next to tree 1323 IRL (not on map),Aerial,SFF2V-247,Graminoid,Carex spp L.,9/4/2024
9/3/2024,V,CARXXX,T,19,,Aerial,BTN4V-11,Graminoid,Carex spp L.,9/3/2024
9/4/2024,V,CARXXX,1,26,"~8-10m side slope of 1128 (big pipo), N of oak patch",Aerial,SFF2V-248,Graminoid,Carex spp L.,9/4/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-20,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-18,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,9,,Aerial,BTN4V-13,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-13,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,19,,Aerial,BTN4V-14,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-14,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,7,26,,Aerial,BTN4V-1,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,4,N/A,,Basal,BTN4V-1,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,T,13,,Aerial,BTN4V-22,Graminoid,Carex spp L.,9/3/2024
9/4/2024,V,CARXXX,3,N/A,,Basal,SFF2V-232,Graminoid,Carex spp L.,9/4/2024
8/22/2024,V,CARXXX,T,N/A,,Basal,SFF4V-201,Graminoid,Carex spp L.,8/22/2024
9/10/2024,V,CARXXX,T,N/A,,Basal,SFF5V-252,Graminoid,Carex spp L.,9/10/2024
9/5/2024,V,CARXXX,7,22,,Aerial,SFS4V-29,Graminoid,Carex spp L.,9/5/2024
9/4/2024,V,CARXXX,4,N/A,,Basal,SFF2V-225,Graminoid,Carex spp L.,9/4/2024
9/20/2024,V,CARXXX,T,N/A,,Basal,SFF3V-293,Graminoid,Carex spp L.,9/20/2024
9/4/2024,V,CARXXX,T,7,,Aerial,SFF2V-226,Graminoid,Carex spp L.,9/4/2024
8/28/2024,V,CARXXX,15,N/A,,Basal,SFF10V-218,Graminoid,Carex spp L.,8/28/2024
9/4/2024,V,CARXXX,1,15,,Aerial,SFF2V-229,Graminoid,Carex spp L.,9/4/2024
9/10/2024,V,CARXXX,1,N/A,,Basal,SFF5V-249,Graminoid,Carex spp L.,9/10/2024
9/3/2024,V,CARXXX,T,N/A,,Basal,BTN4V-11,Graminoid,Carex spp L.,9/3/2024
9/4/2024,V,CARXXX,5,30,,Aerial,SFF2V-232,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,2,N/A,,Basal,SFF2V-241,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,4,21,,Aerial,SFF2V-233,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,3,N/A,,Basal,SFF2V-233,Graminoid,Carex spp L.,9/4/2024
9/12/2024,V,CARXXX,T,20,,Aerial,SFF8V-263,Graminoid,Carex spp L.,9/12/2024
9/12/2024,V,CARXXX,T,N/A,,Basal,SFF8V-263,Graminoid,Carex spp L.,9/12/2024
9/5/2024,V,CARXXX,T,10,,Aerial,SFS4V-30,Graminoid,Carex spp L.,9/5/2024
8/29/2024,V,CARXXX,3,N/A,,Basal,SFF9V-224,Graminoid,Carex spp L.,8/29/2024
9/5/2024,V,CARXXX,T,12,,Aerial,SFS4V-27,Graminoid,Carex spp L.,9/5/2024
9/4/2024,V,CARXXX,2,,,Aerial,SFF2V-241,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,5,24,,Aerial,SFF2V-225,Graminoid,Carex spp L.,9/4/2024
9/10/2024,V,CARXXX,2,12,,Aerial,SFF5V-249,Graminoid,Carex spp L.,9/10/2024
9/11/2024,V,CARXXX,1,N/A,,Basal,SFF7V-256,Graminoid,Carex spp L.,9/11/2024
9/12/2024,V,CARXXX,1,N/A,,Basal,SFF8V-261,Graminoid,Carex spp L.,9/12/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-6,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,3,21,,Aerial,BTN4V-7,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-7,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,5,27,,Aerial,BTN4V-8,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,2,N/A,,Basal,BTN4V-8,Graminoid,Carex spp L.,9/3/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-37,Graminoid,Carex spp L.,9/5/2024
8/28/2024,V,CARXXX,20,N/A,,Basal,SFF10V-217,Graminoid,Carex spp L.,8/28/2024
9/4/2024,V,CARXXX,T,3,,Aerial,SFF2V-239,Graminoid,Carex spp L.,9/4/2024
9/5/2024,V,CARXXX,1,40,,Aerial,SFS4V-35,Graminoid,Carex spp L.,9/5/2024
9/12/2024,V,CARXXX,1,N/A,,Basal,SFF8V-268,Graminoid,Carex spp L.,9/12/2024
9/11/2024,V,CARXXX,4,24,,Aerial,SFF7V-256,Graminoid,Carex spp L.,9/11/2024
9/3/2024,V,CARXXX,4,17,,Aerial,BTN4V-9,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-9,Graminoid,Carex spp L.,9/3/2024
9/18/2024,V,CARXXX,T,11,,Aerial,SFF6V-290,Graminoid,Carex spp L.,9/18/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-3,Graminoid,Carex spp L.,9/3/2024
9/18/2024,V,CARXXX,T,N/A,,Basal,SFF6V-290,Graminoid,Carex spp L.,9/18/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-4,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,1,N/A,,Basal,BTN4V-2,Graminoid,Carex spp L.,9/3/2024
9/5/2024,V,CARXXX,1,12,,Aerial,SFS4V-40,Graminoid,Carex spp L.,9/5/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-40,Graminoid,Carex spp L.,9/5/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-243,Graminoid,Carex spp L.,9/4/2024
9/18/2024,V,CARXXX,T,N/A,,Basal,SFF6V-289,Graminoid,Carex spp L.,9/18/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-246,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,T,13,,Aerial,SFF2V-246,Graminoid,Carex spp L.,9/4/2024
9/5/2024,V,CARXXX,1,22,,Aerial,SFS4V-37,Graminoid,Carex spp L.,9/5/2024
9/11/2024,V,CARXXX,1,N/A,,Basal,SFF7V-260,Graminoid,Carex spp L.,9/11/2024
9/11/2024,V,CARXXX,3,28,,Aerial,SFF7V-260,Graminoid,Carex spp L.,9/11/2024
9/12/2024,V,CARXXX,2,39,,Aerial,SFF8V-268,Graminoid,Carex spp L.,9/12/2024
9/11/2024,V,CARXXX,2,N/A,,Basal,SFF7V-257,Graminoid,Carex spp L.,9/11/2024
9/12/2024,V,CARXXX,2,N/A,,Basal,SFF8V-264,Graminoid,Carex spp L.,9/12/2024
9/3/2024,V,CARXXX,2,13,,Aerial,BTN4V-6,Graminoid,Carex spp L.,9/3/2024
9/4/2024,V,CARXXX,T,N/A,,Aerial,SFF2V-245,Graminoid,Carex spp L.,9/4/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-35,Graminoid,Carex spp L.,9/5/2024
9/4/2024,V,CARXXX,T,18,,Aerial,SFF2V-243,Graminoid,Carex spp L.,9/4/2024
8/29/2024,V,CARXXX,1,N/A,,Basal,SFF9V-222,Graminoid,Carex spp L.,8/29/2024
8/29/2024,V,CARXXX,2,20,,Aerial,SFF9V-222,Graminoid,Carex spp L.,8/29/2024
9/11/2024,V,CARXXX,3,29,,Aerial,SFF7V-257,Graminoid,Carex spp L.,9/11/2024
9/18/2024,V,CARXXX,T,14,,Aerial,SFF6V-287,Graminoid,Carex spp L.,9/18/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-242,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,T,4,,Aerial,SFF2V-242,Graminoid,Carex spp L.,9/4/2024
9/12/2024,V,CARXXX,2,30,,Aerial,SFF8V-261,Graminoid,Carex spp L.,9/12/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-239,Graminoid,Carex spp L.,9/4/2024
9/3/2024,V,CARXXX,2,27,,Aerial,BTN4V-4,Graminoid,Carex spp L.,9/3/2024
9/18/2024,V,CARXXX,1,9,,Aerial,SFF6V-289,Graminoid,Carex spp L.,9/18/2024
9/3/2024,V,CARXXX,3,22,,Aerial,BTN4V-3,Graminoid,Carex spp L.,9/3/2024
9/3/2024,V,CARXXX,3,22,,Aerial,BTN4V-2,Graminoid,Carex spp L.,9/3/2024
8/28/2024,V,CARXXX,10,20,,Aerial,SFF10V-215,Graminoid,Carex spp L.,8/28/2024
8/28/2024,V,CARXXX,8,N/A,,Basal,SFF10V-215,Graminoid,Carex spp L.,8/28/2024
8/29/2024,V,CARXXX,2,21,,Aerial,SFF9V-219,Graminoid,Carex spp L.,8/29/2024
8/28/2024,V,CARXXX,4,20,,Aerial,SFF10V-216,Graminoid,Carex spp L.,8/28/2024
8/28/2024,V,CARXXX,2,N/A,,Basal,SFF10V-216,Graminoid,Carex spp L.,8/28/2024
9/12/2024,V,CARXXX,1,14,,Aerial,SFF8V-269,Graminoid,Carex spp L.,9/12/2024
9/12/2024,V,CARXXX,4,34,,Aerial,SFF8V-264,Graminoid,Carex spp L.,9/12/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-248,Graminoid,Carex spp L.,9/4/2024
9/12/2024,V,CARXXX,5,51,,Aerial,SFF8V-262,Graminoid,Carex spp L.,9/12/2024
9/5/2024,V,CARXXX,T,15,,Aerial,SFS4V-44,Graminoid,Carex spp L.,9/5/2024
9/5/2024,V,CARXXX,T,N/A,,Basal,SFS4V-44,Graminoid,Carex spp L.,9/5/2024
9/3/2024,V,CARXXX,1,23,,Aerial,BTN4V-20,Graminoid,Carex spp L.,9/3/2024
9/4/2024,V,CARXXX,T,N/A,,Basal,SFF2V-230,Graminoid,Carex spp L.,9/4/2024
9/4/2024,V,CARXXX,T,5,,Aerial,SFF2V-230,Graminoid,Carex spp L.,9/4/2024
9/20/2024,V,CARXXX,T,5,,Aerial,SFF3V-293,Graminoid,Carex spp L.,9/20/2024
8/28/2024,V,CARXXX,25,20,,Aerial,SFF10V-217,Graminoid,Carex spp L.,8/28/2024
9/18/2024,V,CARXXX,T,N/A,,Basal,SFF6V-287,Graminoid,Carex spp L.,9/18/2024
9/12/2024,V,CARXXX,2,N/A,,Basal,SFF8V-262,Graminoid,Carex spp L.,9/12/2024
8/22/2024,V,CARXXX,T,N/A,,Basal,SFF4V-206,Graminoid,Carex spp L.,8/22/2024
9/18/2024,V,CARXXX,1,19,,Aerial,SFF6V-291,Graminoid,Carex spp L.,9/18/2024
9/3/2024,V,CARXXX,1,17,,Aerial,BTN4V-24,Graminoid,Carex spp L.,9/3/2024
8/28/2024,V,CARXXX,6,26,,Aerial,SFF10V-213,Graminoid,Carex spp L.,8/28/2024
8/28/2024,V,CARXXX,2,N/A,,Basal,SFF10V-213,Graminoid,Carex spp L.,8/28/2024
9/5/2024,V,CARXXX,T,14,,Aerial,SFS4V-36,Graminoid,Carex spp L.,9/5/2024
9/5/2024,V,CARXXX,1,N/A,,Basal,SFS4V-38,Graminoid,Carex spp L.,9/5/2024
9/18/2024,V,CARXXX,T,N/A,,Basal,SFF6V-291,Graminoid,Carex spp L.,9/18/2024
8/29/2024,V,CARXXX,T,N/A,,Basal,SFF9V-219,Graminoid,Carex spp L.,8/29/2024
9/5/2024,V,CARXXX,T,3,,Aerial,SFS4V-42,Graminoid,Carex spp L.,9/5/2024
9/5/2024,V,CARXXX,T,N/A,,Basal,SFS4V-36,Graminoid,Carex spp L.,9/5/2024
8/28/2024,V,CARXXX,1,N/A,,Basal,SFF10V-214,Graminoid,Carex spp L.,8/28/2024
9/18/2024,V,CARXXX,T,5,,Aerial,SFF6V-292,Graminoid,Carex spp L.,9/18/2024
9/5/2024,V,CARXXX,T,N/A,,Basal,SFS4V-42,Graminoid,Carex spp L.,9/5/2024
8/28/2024,V,CARXXX,2,19,,Aerial,SFF10V-214,Graminoid,Carex spp L.,8/28/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-48,Shrub,Berberis repens Lindl.,9/5/2024
9/10/2024,V,BERREP,1,6,,Aerial,SFF5V-252,Shrub,Berberis repens Lindl.,9/10/2024
8/28/2024,V,BERREP,T,N/A,,Basal,SFF10V-213,Shrub,Berberis repens Lindl.,8/28/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-9,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,3,7,,Aerial,BTN4V-22,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,2,8,,Aerial,BTN4V-5,Shrub,Berberis repens Lindl.,9/3/2024
9/3/2024,V,BERREP,13,7,,Aerial,BTN4V-20,Shrub,Berberis repens Lindl.,9/3/2024
9/18/2024,V,BERREP,T,N/A,,Basal,SFF6V-287,Shrub,Berberis repens Lindl.,9/18/2024
8/28/2024,V,BERREP,25,70,,Aerial,SFF10V-217,Shrub,Berberis repens Lindl.,8/28/2024
9/18/2024,V,BERREP,5,9,,Aerial,SFF6V-288,Shrub,Berberis repens Lindl.,9/18/2024
8/26/2024,V,BERREP,8,9,,Aerial,SFF1V-211,Shrub,Berberis repens Lindl.,8/26/2024
8/22/2024,V,BERREP,1,N/A,,Basal,SFF4V-201,Shrub,Berberis repens Lindl.,8/22/2024
9/3/2024,V,BERREP,3,7,,Aerial,BTN4V-9,Shrub,Berberis repens Lindl.,9/3/2024
9/20/2024,V,BERREP,5,10,,Aerial,SFF3V-296,Shrub,Berberis repens Lindl.,9/20/2024
8/22/2024,V,BERREP,5,10,,Aerial,SFF4V-203,Shrub,Berberis repens Lindl.,8/22/2024
9/12/2024,V,BERREP,T,N/A,,Basal,SFF8V-278,Shrub,Berberis repens Lindl.,9/12/2024
8/28/2024,V,BERREP,1,N/A,,Basal,SFF10V-217,Shrub,Berberis repens Lindl.,8/28/2024
8/28/2024,V,BERREP,1,7,,Aerial,SFF10V-213,Shrub,Berberis repens Lindl.,8/28/2024
8/28/2024,V,BERREP,1,5,,Aerial,SFF10V-218,Shrub,Berberis repens Lindl.,8/28/2024
9/3/2024,V,BERREP,10,14,,Aerial,BTN4V-23,Shrub,Berberis repens Lindl.,9/3/2024
9/10/2024,V,BERREP,2,12,,Aerial,SFF5V-251,Shrub,Berberis repens Lindl.,9/10/2024
9/12/2024,V,BERREP,T,N/A,,Basal,SFF8V-283,Shrub,Berberis repens Lindl.,9/12/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-47,Shrub,Berberis repens Lindl.,9/5/2024
8/26/2024,V,BERREP,T,N/A,,Basal,SFF1V-211,Shrub,Berberis repens Lindl.,8/26/2024
8/22/2024,V,BERREP,25,12,,Aerial,SFF4V-201,Shrub,Berberis repens Lindl.,8/22/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-46,Shrub,Berberis repens Lindl.,9/5/2024
9/5/2024,V,BERREP,1,9,,Aerial,SFS4V-30,Shrub,Berberis repens Lindl.,9/5/2024
9/11/2024,V,BERREP,9,9,,Aerial,SFF7V-258,Shrub,Berberis repens Lindl.,9/11/2024
9/18/2024,V,BERREP,4,6,,Aerial,SFF6V-287,Shrub,Berberis repens Lindl.,9/18/2024
9/18/2024,V,BERREP,T,N/A,,Basal,SFF6V-291,Shrub,Berberis repens Lindl.,9/18/2024
9/5/2024,V,BERREP,2,9,,Aerial,SFS4V-47,Shrub,Berberis repens Lindl.,9/5/2024
9/5/2024,V,BERREP,1,5,,Aerial,SFS4V-46,Shrub,Berberis repens Lindl.,9/5/2024
8/22/2024,V,BERREP,T,N/A,,Basal,SFF4V-203,Shrub,Berberis repens Lindl.,8/22/2024
9/5/2024,V,BERREP,1,10,,Aerial,SFS4V-39,Shrub,Berberis repens Lindl.,9/5/2024
9/3/2024,V,BERREP,T,N/A,,Basal,BTN4V-5,Shrub,Berberis repens Lindl.,9/3/2024
9/12/2024,V,BERREP,1,6,,Aerial,SFF8V-283,Shrub,Berberis repens Lindl.,9/12/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-30,Shrub,Berberis repens Lindl.,9/5/2024
9/11/2024,V,BERREP,T,N/A,,Basal,SFF7V-258,Shrub,Berberis repens Lindl.,9/11/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-33,Shrub,Berberis repens Lindl.,9/5/2024
9/5/2024,V,BERREP,1,4,,Aerial,SFS4V-33,Shrub,Berberis repens Lindl.,9/5/2024
9/3/2024,V,BERREP,10,9,,Aerial,BTN4V-11,Shrub,Berberis repens Lindl.,9/3/2024
9/5/2024,V,BERREP,T,N/A,,Basal,SFS4V-39,Shrub,Berberis repens Lindl.,9/5/2024
9/20/2024,V,BERREP,T,N/A,,Basal,SFF3V-296,Shrub,Berberis repens Lindl.,9/20/2024
9/20/2024,V,BERREP,T,3,,Aerial,SFF3V-297,Shrub,Berberis repens Lindl.,9/20/2024
9/20/2024,V,BERREP,T,N/A,,Basal,SFF3V-297,Shrub,Berberis repens Lindl.,9/20/2024
